date,home_team,away_team,result,odds_home_win,odds_draw,odds_away_win,home_goals_scored_rolling,home_goals_conceded_rolling,home_shots_rolling,home_shots_on_target_rolling,home_fouls_rolling,home_corners_rolling,home_yellow_cards_rolling,home_red_cards_rolling,away_goals_scored_rolling,away_goals_conceded_rolling,away_shots_rolling,away_shots_on_target_rolling,away_fouls_rolling,away_corners_rolling,away_yellow_cards_rolling,away_red_cards_rolling,home_elo_before,away_elo_before,prob_home,prob_draw,prob_away,xG,xG.1
2021-09-26,Southampton,Wolves,1,2.62,3.2,2.8,0.8,1.2,11.4,3.4,11.0,5.8,2.0,0.0,0.4,1.0,16.4,4.0,9.8,5.2,2.6,0.0,1491.9140910626256,1472.449331804224,0.3630470016207455,0.2972447325769854,0.33970826580226904,1.0,1.0
2021-09-26,Arsenal,Tottenham,2,2.15,3.3,3.5,0.4,1.8,14.4,3.4,8.4,5.0,1.4,0.2,0.6,1.2,9.2,4.0,9.0,4.8,2.0,0.2,1490.8544212916022,1508.1116708105262,0.44134505158578524,0.28754298815437523,0.2711119602598395,1.1,1.0
2021-09-27,Crystal Palace,Brighton,0,3.1,3.2,2.45,1.0,1.6,10.2,2.2,10.8,4.2,1.2,0.0,1.4,0.8,11.4,4.2,9.0,5.4,2.0,0.0,1493.2432140043522,1529.0978060325724,0.3092092289489253,0.2995464405442714,0.39124433050680335,1.4,0.8
2021-10-02,Wolves,Newcastle,2,1.61,4.2,5.25,0.6,0.8,14.0,4.0,9.4,5.4,2.2,0.0,1.0,2.0,13.6,4.4,10.4,4.2,2.4,0.0,1483.0089872033582,1472.1926772058898,0.591715976331361,0.22682445759368838,0.1814595660749507,1.0,0.6
2021-10-02,Leeds,Watford,2,1.7,4.0,4.75,1.0,1.8,15.0,4.8,9.0,5.0,2.4,0.2,0.8,1.4,10.4,3.4,13.6,4.8,2.2,0.0,1471.6410935772205,1488.9385191713661,0.5608856088560886,0.23837638376383766,0.2007380073800738,1.3,0.2
2021-10-02,Brighton,Arsenal,0,3.0,3.25,2.4,1.2,0.8,10.2,3.4,9.6,5.2,2.4,0.0,1.0,1.6,12.4,4.0,9.2,4.8,1.8,0.2,1528.0694758290497,1501.3507167831149,0.3151515151515151,0.2909090909090909,0.393939393939394,1.1,0.4
2021-10-02,Burnley,Norwich,0,1.85,3.6,4.33,0.8,1.8,11.8,3.6,9.6,5.4,2.2,0.0,0.4,2.6,9.4,2.4,9.0,4.4,1.6,0.0,1463.0373379897255,1443.0370851865184,0.5151610291323099,0.2647355288596593,0.22010344200803078,1.2,0.6
2021-10-02,Man United,Everton,0,1.45,4.33,7.5,1.6,0.8,18.2,5.6,9.0,7.4,2.0,0.0,1.8,1.2,13.4,4.8,9.4,4.8,2.0,0.0,1526.2214888319872,1525.6440112377218,0.6543619089837492,0.21912812194605918,0.12650996907019152,1.0,1.3
2021-10-02,Chelsea,Southampton,2,1.36,4.75,9.0,1.8,0.4,13.0,4.4,9.2,6.0,1.4,0.2,0.6,0.8,13.8,4.0,10.4,5.2,2.0,0.0,1527.9824605783185,1481.3544356634914,0.6956875508543532,0.19918633034987795,0.10512611879576893,3.3,1.3
2021-10-03,Crystal Palace,Leicester,0,3.1,3.4,2.3,1.2,1.2,11.0,2.6,11.0,5.0,1.6,0.0,1.2,2.0,11.2,2.6,8.2,6.2,1.2,0.2,1494.271544207875,1489.2102508819012,0.3067869752844252,0.27971753628874063,0.41349548842683403,1.5,1.2
